0,0,0,-0.0405,-0.0494,0.0567,-0.5696,-0.8166,0.8844
0,0,1,-0.0405,-0.0494,0.0567,-1.0400,-1.7082,1.7765
0,0,2,-0.0405,-0.0494,0.0567,-1.3481,-2.6813,2.6658
0,0,3,-0.0405,-0.0494,0.0567,-1.4250,-4.7898,4.4390
0,0,4,-0.0405,-0.0494,0.0567,-0.6440,-6.9704,6.2181
0,1,0,-0.0332,0.0304,-0.0134,-0.8052,0.5868,-0.2959
0,1,1,-0.0332,0.0304,-0.0134,-1.7347,0.9924,-0.5936
0,1,2,-0.0332,0.0304,-0.0134,-2.7454,1.2023,-0.8903
0,1,3,-0.0332,0.0304,-0.0134,-4.9226,0.8608,-1.4844
0,1,4,-0.0332,0.0304,-0.0134,-6.9348,-0.9293,-2.0783
0,2,0,0.0362,0.0369,0.0344,0.7634,0.6393,0.6626
0,2,1,0.0362,0.0369,0.0344,1.6413,1.1411,1.3302
0,2,2,0.0362,0.0369,0.0344,2.6129,1.4729,1.9958
0,2,3,0.0362,0.0369,0.0344,4.7727,1.4744,3.3239
0,2,4,0.0362,0.0369,0.0344,6.9857,0.4183,4.6566
0,3,0,0.0062,-0.0454,0.0028,0.2428,-0.9676,0.0607
0,3,1,0.0062,-0.0454,0.0028,0.7323,-1.8572,0.1215
0,3,2,0.0062,-0.0454,0.0028,1.4106,-2.6431,0.1823
0,3,3,0.0062,-0.0454,0.0028,3.4208,-3.6439,0.3041
0,3,4,0.0062,-0.0454,0.0028,6.1255,-3.3776,0.4257
0,4,0,0.0589,-0.0389,-0.0321,0.7934,-0.6108,-0.4556
0,4,1,0.0589,-0.0389,-0.0321,1.4645,-1.3635,-0.9105
0,4,2,0.0589,-0.0389,-0.0321,2.0384,-2.2011,-1.3651
0,4,3,0.0589,-0.0389,-0.0321,2.7855,-4.1512,-2.2748
0,4,4,0.0589,-0.0389,-0.0321,2.9635,-6.3364,-3.1831
0,5,0,0.0381,-0.0651,0.0379,0.5626,-0.8296,0.5033
0,5,1,0.0381,-0.0651,0.0379,1.2398,-1.5687,1.0039
0,5,2,0.0381,-0.0651,0.0379,2.0053,-2.2275,1.5047
0,5,3,0.0381,-0.0651,0.0379,3.7878,-3.2606,2.5092
0,5,4,0.0381,-0.0651,0.0379,5.8366,-3.8652,3.5146
0,6,0,0.0051,0.0409,0.0289,0.2425,0.9655,0.6969
0,6,1,0.0051,0.0409,0.0289,0.7193,1.8625,1.3978
0,6,2,0.0051,0.0409,0.0289,1.4406,2.6293,2.0990
0,6,3,0.0051,0.0409,0.0289,3.5535,3.5147,3.4992
0,6,4,0.0051,0.0409,0.0289,6.4345,2.7441,4.8974
0,7,0,-0.0469,-0.0251,-0.0466,-0.9203,-0.3858,-0.8753
0,7,1,-0.0469,-0.0251,-0.0466,-1.9053,-0.6024,-1.7527
0,7,2,-0.0469,-0.0251,-0.0466,-2.9348,-0.6218,-2.6314
0,7,3,-0.0469,-0.0251,-0.0466,-4.9951,-0.0114,-4.3814
0,8,0,0.0319,0.0262,0.0072,0.6867,0.7203,0.1741
0,8,1,0.0319,0.0262,0.0072,1.1783,1.6137,0.3496
0,8,2,0.0319,0.0262,0.0072,1.4416,2.6284,0.5246
